,gene
728,ENSG00000287682
729,ENSG00000287958
730,ENSG00000288598
731,ENSG00000288700
732,ENSG00000288758
733,ENSG00000288806
734,ENSG00000288819
735,ENSG00000288882
736,ENSG00000288973
737,ENSG00000289130
738,ENSG00000289137
739,ENSG00000289150
740,ENSG00000289172
741,ENSG00000289176
742,ENSG00000289180
743,ENSG00000289191
744,ENSG00000289263
745,ENSG00000289278
746,ENSG00000289364
747,ENSG00000289381
748,ENSG00000289404
749,ENSG00000289536
750,ENSG00000289548
751,ENSG00000289608
752,ENSG00000289621
753,ENSG00000289963
754,ENSG00000289977
755,ENSG00000290017
756,ENSG00000290032
757,ENSG00000290036
758,ENSG00000290104
759,ENSG00000290192
760,ENSG00000290417
761,ENSG00000290427
762,ENSG00000290460
763,ENSG00000290592
764,ENSG00000290680
765,ENSG00000290833
766,ENSG00000290937
767,ENSG00000291038
768,ENSG00000291143
769,ENSG00000291228
770,ENSG00000291236
771,ENSG00000291252
772,ENSG00000291289
773,EOMES
774,EPAS1
775,EPB41L2
776,EPB41L3
777,EPDR1
778,EPHA2
779,EPHB1
780,EPPK1
781,EPS8
782,EPX
783,ERBB2
784,EREG
785,ERG
786,ERLEC1
787,ERMP1
788,ERN1
789,ERVK3-1
790,ESAM
791,ESCO2
792,ETS1
793,ETV6
794,EVI2B
795,EVL
796,EZH2
797,F13A1
798,F2R
799,F2RL3
800,FABP5
801,FADS1
802,FADS2
803,FADS3
804,FAM107B
805,FAM110A
806,FAM111B
807,FAM124B
808,FAM151B-DT
809,FAM20C
810,FAM226B
811,FAM30A
812,FAM83F
813,FAM86EP
814,FANCI
815,FAR2
816,FASLG
817,FAU
818,FAXDC2
819,FBLN2
820,FBN1
821,FBP1
822,FBXO9
823,FCER1A
824,FCER1G
825,FCER2
826,FCGR2A
827,FCGR2B
828,FCGR2C
829,FCGR3A
830,FCGR3B
831,FCGRT
832,FCMR
833,FCN1
834,FCRL1
835,FCRL2
836,FCRL3
837,FCRL5
838,FCRL6
839,FCRLA
840,FEN1
841,FERMT1
842,FES
843,FFAR2
844,FGD2
845,FGFBP2
846,FGFR2
847,FGL2
848,FGR
849,FHIP1A
850,FHIT
851,FHL1
852,FHL2
853,FIGN
854,FKBP11
855,FKBP2
856,FLNA
857,FLNB
858,FLT3
859,FLT3LG
860,FMNL1
861,FMNL2
862,FNBP1L
863,FOLR3
864,FOS
865,FOXJ1
866,FOXM1
867,FOXP3
868,FPR1
869,FPR2
870,FPR3
871,FRAT2
872,FREM1
873,FRMD3
874,FRMD4B
875,FRMD6
876,FRMPD3
877,FRY
878,FSCN1
879,FSTL1
880,FSTL3
881,FSTL4
882,FTH1
883,FTL
884,FUT11
885,FUT4
886,FUT8
887,FXYD2
888,FXYD6
889,FXYD7
890,FYB1
891,FYN
892,FZD1
893,FZD2
894,G0S2
895,GAB2
896,GABARAP
897,GADD45A
898,GAPDH
899,GAPT
900,GAS2L1
901,GAS5
902,GAS6
903,GASK1B
904,GATA1
905,GATA2
906,GATA3
907,GBE1
908,GBP2
909,GBP5
910,GCA
911,GCSAM
912,GCSAML
913,GDI2
914,GDPD5
915,GFI1B
916,GFOD1
917,GGH
918,GGTA1
919,GIHCG
920,GIMAP4
921,GIMAP5
922,GIMAP6
923,GIMAP7
924,GINS2
925,GINS4
926,GK
927,GK5
928,GLDC
929,GLIPR1
930,GLT1D1
931,GLUL
932,GMDS
933,GMFG
934,GMNN
935,GMPPB
936,GMPR
937,GNA15
938,GNAI1
939,GNAI2
940,GNAQ
941,GNAZ
942,GNB5
943,GNG10
944,GNG11
945,GNG7
946,GNLY
947,GNPDA1
948,GNPTAB
949,GOLGA8A
950,GOLGA8B
951,GOLM1
952,GP1BA
953,GP1BB
954,GP6
955,GP9
956,GPBAR1
957,GPI
958,GPM6B
959,GPR141
960,GPR15
961,GPR160
962,GPR171
963,GPR174
964,GPR183
965,GPR34
966,GPR84
967,GPRC5D
968,GPRIN3
969,GPSM1
970,GPSM3
971,GPX1
972,GPX7
973,GRAP2
974,GRB10
975,GRIK5
976,GRIP1
977,GRK3
978,GRK4
979,GRN
980,GSN
981,GSTP1
982,GTF3A
983,GTSE1
984,GUCY1A1
985,GUCY1B1
986,GUCY2D
987,GYG1
988,GYS1
989,GZMA
990,GZMB
991,GZMH
992,GZMK
993,GZMM
994,H1-0
995,H1-10
996,H1-2
997,H1-5
998,H2AC6
999,H2AX
1000,H2AZ2
1001,H2BC11
1002,H2BC12
1003,H3-3A
1004,H3-3B
1005,H3C10
1006,H4C3
1007,HACD1
1008,HADH
1009,HAPLN3
1010,HAR1A
1011,HAVCR2
1012,HBA2
1013,HBB
1014,HCAR2
1015,HCAR3
1016,HCK
1017,HCST
1018,HDAC9
1019,HDC
1020,HEATR5A
1021,HELLS
1022,HEMGN
1023,HERPUD1
1024,HES1
1025,HES4
1026,HGF
1027,HHIP-AS1
1028,HIBCH
1029,HINT1
1030,HIPK2
1031,HK3
1032,HLA-A
1033,HLA-B
1034,HLA-C
1035,HLA-DMA
1036,HLA-DMB
1037,HLA-DOA
1038,HLA-DOB
1039,HLA-DPA1
1040,HLA-DPB1
1041,HLA-DQA1
1042,HLA-DQA2
1043,HLA-DQB1
1044,HLA-DQB2
1045,HLA-DRA
1046,HLA-DRB1
1047,HLA-DRB5
1048,HLA-DRB6
1049,HLA-E
1050,HMGA1
1051,HMGA2
1052,HMGA2-AS1
1053,HMGB1
1054,HMGB2
1055,HMGB3
1056,HMGN2
1057,HMMR
1058,HMOX1
1059,HNMT
1060,HNRNPA1
1061,HNRNPA2B1
1062,HOMER2
1063,HOMER3
1064,HOPX
1065,HOXA10-AS
1066,HOXA3
1067,HOXA7
1068,HOXA9
1069,HP
1070,HP1BP3
1071,HPDL
1072,HPGD
1073,HPGDS
1074,HRH2
1075,HRH4
1076,HS2ST1
1077,HS3ST3B1
1078,HSD17B10
1079,HSD17B4
1080,HSH2D
1081,HSP90AA1
1082,HSP90B1
1083,HSPA13
1084,HSPA5
1085,HSPA6
1086,HSPA8
1087,HSPG2
1088,HTR1F
1089,HTRA3
1090,HVCN1
1091,HYOU1
1092,ICA1
1093,ICAM3
1094,ICAM4
1095,ICOSLG
1096,ID2
1097,IDH3A
1098,IER2
1099,IER5
1100,IFI30
1101,IFIT2
1102,IFIT3
1103,IFITM1
1104,IFITM2
1105,IFITM3
1106,IFNG
1107,IFNG-AS1
1108,IFNGR2
1109,IFT22
1110,IFT80
1111,IFT81
1112,IFTAP
1113,IGF2BP2
1114,IGF2R
1115,IGFBP6
1116,IGFBP7
1117,IGFLR1
1118,IGHA1
1119,IGHA2
1120,IGHV3-7
1121,IGLL1
1122,IGLL5
1123,IGSF6
1124,IKZF2
1125,IKZF3
1126,IL12A-AS1
1127,IL12RB2
1128,IL13RA1
1129,IL17RA
1130,IL18
1131,IL18R1
1132,IL18RAP
1133,IL1B
1134,IL1R2
1135,IL1RAP
1136,IL1RL1
1137,IL1RN
1138,IL2RA
1139,IL2RB
1140,IL2RG
1141,IL32
1142,IL3RA
1143,IL4
1144,IL5RA
1145,IL6R
1146,IL6ST
1147,IL7R
1148,INAFM2
1149,INHBA
1150,INKA1
1151,INKA2
1152,INPP4B
1153,INPP5A
1154,INSIG1
1155,IQGAP1
1156,IQSEC2
1157,IRAK1BP1
1158,IRAK3
1159,IRF4
1160,IRF7
1161,IRF8
1162,ISOC2
1163,ISYNA1
1164,ITFG2
1165,ITGA1
1166,ITGA2B
1167,ITGA4
1168,ITGA6
1169,ITGA9
1170,ITGAL
1171,ITGAM
1172,ITGAX
1173,ITGB1
1174,ITGB2
1175,ITGB3
1176,ITGB5
1177,ITGB7
1178,ITGB8
1179,ITK
1180,ITM2A
1181,ITM2B
1182,ITM2C
1183,ITPR3
1184,ITPRID2-DT
1185,ITPRIPL2
1186,JAK1
1187,JAK2
1188,JAML
1189,JCHAIN
1190,JUNB
1191,JUP
1192,KANSL1-AS1
1193,KAT2A
1194,KBTBD11
1195,KCNA3
1196,KCNA5
1197,KCNC3
1198,KCNE1
1199,KCNE3
1200,KCNG2
1201,KCNH2
1202,KCNJ15
1203,KCNJ2
1204,KCNK10
1205,KCNK12
1206,KCNK17
1207,KCNK5
1208,KCNK6
1209,KCNMB1
1210,KCTD12
1211,KCTD19
1212,KCTD5
1213,KDM6B
1214,KDSR
1215,KEL
1216,KIAA0087
1217,KIAA1522
1218,KIF11
1219,KIF15
1220,KIF18B
1221,KIF2A
1222,KIF2C
1223,KIF5C
1224,KIFC1
1225,KIR2DL1
1226,KIR2DS4
1227,KIR3DL1
1228,KIRREL3
1229,KIT
1230,KLF1
1231,KLF10
1232,KLF2
1233,KLF3-AS1
1234,KLF4
1235,KLF5
1236,KLF6
1237,KLHL33
1238,KLRB1
1239,KLRC1
1240,KLRC2
1241,KLRC3
1242,KLRC4
1243,KLRD1
1244,KLRF1
1245,KLRG1
1246,KLRK1
1247,KMO
1248,KNDC1
1249,KNL1
1250,KRT23
1251,KRT5
1252,L1TD1
1253,LAG3
1254,LAIR1
1255,LAIR2
1256,LAMP5
1257,LAMTOR4
1258,LAPTM4B
1259,LAPTM5
1260,LARGE1
1261,LARGE2
1262,LAT
1263,LAT2
1264,LAX1
1265,LBH
1266,LCK
1267,LCN10
1268,LCN2
1269,LCNL1
1270,LCP1
1271,LCP2
1272,LCT-AS1
1273,LDHB
1274,LDLR
1275,LDLRAP1
1276,LEF1
1277,LGALS1
1278,LGALS2
1279,LGALS3
1280,LGALS9
1281,LGALSL
1282,LGMN
1283,LILRA1
1284,LILRA2
1285,LILRA4
1286,LILRB1
1287,LILRB2
1288,LILRB3
1289,LILRB4
1290,LIMD2
1291,LIME1
1292,LIMK2
1293,LIMS1
1294,LINC00173
1295,LINC00278
1296,LINC00299
1297,LINC00671
1298,LINC00861
1299,LINC00863
1300,LINC00865
1301,LINC00869
1302,LINC00892
1303,LINC00926
1304,LINC00989
1305,LINC00996
1306,LINC01122
1307,LINC01138
1308,LINC01140
1309,LINC01226
1310,LINC01374
1311,LINC01478
1312,LINC01504
1313,LINC01506
1314,LINC01550
1315,LINC01724
1316,LINC01781
1317,LINC01857
1318,LINC01871
1319,LINC01934
1320,LINC02009
1321,LINC02223
1322,LINC02256
1323,LINC02273
1324,LINC02345
1325,LINC02356
1326,LINC02384
1327,LINC02397
1328,LINC02432
1329,LINC02446
1330,LINC02458
1331,LINC02481
1332,LINC02573
1333,LINC02805
1334,LINC02812
1335,LINC02981
1336,LINC03034
1337,LINC03052
1338,LITAF
1339,LLGL2
1340,LMAN1
1341,LMNA
1342,LMO4
1343,LPAR5
1344,LPCAT4
1345,LPL
1346,LRG1
1347,LRIG1
1348,LRP1
1349,LRRC25
1350,LRRC26
1351,LRRC34
1352,LRRC36
1353,LRRFIP1
1354,LRRK2
1355,LSM5
1356,LST1
1357,LTA4H
1358,LTB
1359,LTB4R
1360,LTBP1
1361,LTBP3
1362,LTC4S
1363,LTF
1364,LTK
1365,LUCAT1
1366,LXN
1367,LY6G6F
1368,LY86
1369,LY9
1370,LY96
1371,LYAR
1372,LYL1
1373,LYN
1374,LYNX1
1375,LYPD2
1376,LYST
1377,LYZ
1378,LZTFL1
1379,MACF1
1380,MACROH2A1
1381,MAD2L1
1382,MAF
1383,MAFB
1384,MAFG
1385,MAL
1386,MALAT1
1387,MAN2B1
1388,MANEA
1389,MANF
1390,MAP1A
1391,MAP3K7CL
1392,MAP4K1
1393,MAP7
1394,MAPK14
1395,MAPK9
1396,MAPKAPK2
1397,MAPKAPK3
1398,MARCHF1
1399,MARCHF2
1400,MARCKS
1401,MAST4
1402,MATK
1403,MAX
1404,MBOAT7
1405,MCEMP1
1406,MCF2L-AS1
1407,MCL1
1408,MCM10
1409,MCM2
1410,MCM3
1411,MCM4
1412,MCM5
1413,MCM6
1414,MCM7
1415,MCUR1
1416,MDK
1417,MED12L
1418,MED15
1419,MED27
1420,MEFV
1421,MEIS1
1422,MELK
1423,MERTK
1424,MEST
1425,METTL7A
1426,MEX3B
1427,MFAP3L
1428,MGAM
1429,MGLL
1430,MGST1
1431,MGST2
1432,MIAT
1433,MICAL3
1434,MINPP1
1435,MIR223HG
1436,MIR4432HG
1437,MIR4435-2HG
1438,MIR9-3HG
1439,MITF
1440,MKI67
1441,MLC1
1442,MLH3
1443,MLLT6
1444,MMD
1445,MME
1446,MMP15
1447,MMP23B
1448,MMP25
1449,MMP8
1450,MMP9
1451,MMRN1
1452,MN1
1453,MND1
1454,MNDA
1455,MOB1B
1456,MPEG1
1457,MPHOSPH10P1
1458,MPIG6B
1459,MPL
1460,MPO
1461,MPP1
1462,MPRIP
1463,MRAS
1464,MROCKI
1465,MRPL14
1466,MRPL24
1467,MRPS2
1468,MS4A1
1469,MS4A2
1470,MS4A3
1471,MS4A4A
1472,MS4A4E
1473,MS4A6A
1474,MS4A7
1475,MSI2
1476,MSN
1477,MSR1
1478,MSRA
1479,MSRB1
1480,MSRB3
1481,MT-ATP6
1482,MT-CO1
1483,MT-CO2
1484,MT-CO3
1485,MT-CYB
1486,MT-ND1
1487,MT-ND2
1488,MT-ND3
1489,MT-ND4
1490,MT-ND4L
1491,MT-ND5
1492,MT2A
1493,MTMR11
1494,MTPAP
1495,MTPN
1496,MTSS1
1497,MTURN
1498,MUC12-AS1
1499,MUTYH
1500,MXD1
1501,MYB
1502,MYBL1
1503,MYBL2
1504,MYC
1505,MYCL
1506,MYCN
1507,MYCT1
1508,MYDGF
1509,MYH10
1510,MYH9
1511,MYL12A
1512,MYL12B
1513,MYL4
1514,MYL6
1515,MYL6B
1516,MYL9
1517,MYLK
1518,MYO15B
1519,MYO1D
1520,MYO1E
1521,MYO1F
1522,MYOF
1523,MYOM2
1524,MZB1
1525,MZT2B
1526,NABP1
1527,NACA
1528,NADK
1529,NAGA
1530,NAMPT
1531,NAP1L1
1532,NAPSB
1533,NAT8B
1534,NAV1
1535,NCAM1
1536,NCAPG
1537,NCAPG2
1538,NCAPH
1539,NCF1
1540,NCF1B
1541,NCF2
1542,NCF4
1543,NCK2
1544,NCOA7
1545,NCR1
1546,NCR2
1547,NCR3
1548,NDN
1549,NDRG2
1550,NDUFB11
1551,NDUFB9
1552,NEAT1
1553,NEGR1
1554,NELL2
1555,NEURL1
1556,NEXN
1557,NFAM1
1558,NFE2
1559,NFIL3
1560,NFS1
1561,NIBAN1
1562,NIBAN2
1563,NIBAN3
1564,NIF3L1
1565,NIPSNAP2
1566,NKAIN2
1567,NKG7
1568,NLK
1569,NLRC5
1570,NLRP7
1571,NME2
1572,NMNAT3
1573,NMUR1
1574,NOL9
1575,NOP53
1576,NOPCHAP1
1577,NORAD
1578,NOSIP
1579,NOTCH4
1580,NPC2
1581,NPDC1
1582,NPM1
1583,NPR3
1584,NPTX2
1585,NPW
1586,NR1D1
1587,NR1D2
1588,NR3C2
1589,NR4A1
1590,NREP
1591,NRG1
1592,NRGN
1593,NRIP1
1594,NRP1
1595,NSMCE3
1596,NSUN5P2
1597,NT5C
1598,NT5C3A
1599,NT5DC2
1600,NT5M
1601,NTNG2
1602,NTRK1
1603,NUCB2
1604,NUCKS1
1605,NUDT19-DT
1606,NUDT2
1607,NUF2
1608,NUP210
1609,NUSAP1
1610,NUTM2B-AS1
1611,NYNRIN
1612,OAF
1613,OAS1
1614,OAZ1
1615,OBSL1
1616,OCIAD2
1617,ODC1
1618,ODF2L
1619,ODF3B
1620,OGFOD1
1621,OGFRL1
1622,OLA1
1623,OLFM2
1624,OLFM4
1625,OLIG1
1626,OLR1
1627,OPN3
1628,OPTN
1629,ORC6
1630,ORM1
1631,ORM2
1632,ORMDL3
1633,OSBPL10
1634,OSBPL1A
1635,OSBPL5
1636,OSCAR
1637,OSM
1638,OST4
1639,OSTC
1640,OVCH1-AS1
1641,OXER1
1642,OXNAD1
1643,P2RX1
1644,P2RX5
1645,P2RY12
1646,P2RY13
1647,P2RY6
1648,P2RY8
1649,P3H2
1650,PABPC1
1651,PACSIN1
1652,PADI4
1653,PAG1
1654,PALLD
1655,PALM2AKAP2
1656,PAPLN
1657,PAPLN-AS1
1658,PAPSS1
1659,PAPSS2
1660,PAQR4
1661,PARD3
1662,PARG
